2013年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1015.3,1015.8,1010.7,1010.4,1003.8,1003.9,1004.9,1001.4,1005.9,1006.7,1008.3,1016.0
2,1015.1,1015.4,1015.6,1009.1,1006.2,1002.4,1006.4,1005.7,1006.5,1006.5,1009.5,1014.6
3,1016.7,1015.3,1017.4,1007.7,1007.6,1003.6,1006.5,1009.2,1005.1,1006.2,1010.3,1014.0
4,1014.2,1014.4,1017.1,1004.7,1009.4,1006.4,1004.5,1007.8,1005.8,1005.2,1012.2,1013.0
5,1012.2,1013.8,1017.6,1001.3,1010.0,1007.6,1004.7,1005.8,1007.1,1002.7,1013.1,1011.9
6,1012.4,1012.1,1016.4,1001.8,1008.9,1006.4,1006.1,1006.2,1008.7,999.0,1013.5,1010.8
7,1011.7,1010.9,1014.9,1007.8,1008.2,1003.3,1007.6,1007.5,1008.7,999.2,1012.3,1011.1
8,1011.8,1013.9,1012.8,1009.4,1007.9,1000.0,1007.9,1006.7,1008.5,1003.6,1012.1,1010.4
9,1013.3,1016.3,1011.1,1010.8,1007.0,999.1,1006.1,1005.0,1007.7,1006.8,1011.6,1008.8
10,1014.3,1015.5,1011.0,1011.7,1004.2,999.5,1004.6,1005.6,1006.4,1007.4,1011.7,1009.3
11,1014.9,1015.2,1012.4,1011.9,1003.0,1000.4,1003.9,1005.0,1006.8,1005.4,1010.3,1012.3
12,1011.9,1014.9,1011.1,1013.4,1004.7,1001.8,997.1,1002.7,1007.2,1004.3,1009.2,1012.5
13,1008.5,1014.4,1010.2,1011.8,1004.3,1001.6,993.4,1001.5,1005.4,1005.7,1009.1,1013.2
14,1013.2,1012.7,1014.4,1009.2,1003.9,1002.4,1004.0,1003.7,1002.3,1006.5,1011.1,1013.7
15,1016.1,1012.4,1016.3,1006.9,1003.3,1004.3,1006.5,1003.7,1001.1,1007.7,1012.2,1012.1
16,1016.8,1013.7,1014.7,1005.2,1003.6,1004.1,1005.4,1000.1,1002.5,1012.3,1012.3,1008.7
17,1019.0,1011.2,1009.6,1005.1,1004.1,1001.5,1003.2,999.3,1003.6,1013.8,1012.6,1007.7
18,1020.4,1009.4,1006.5,1005.4,1003.5,998.9,1002.4,999.1,1003.3,1012.6,1015.0,1011.3
19,1018.4,1011.0,1007.9,1006.2,1002.3,997.8,1004.6,997.7,1001.6,1011.5,1016.2,1015.3
20,1017.5,1014.7,1008.8,1007.3,1002.3,999.7,1005.4,994.3,996.4,1009.5,1015.1,1016.7
21,1015.8,1015.3,1010.0,1010.1,1003.7,1002.1,1004.3,987.7,985.6,1008.6,1013.8,1017.9
22,1014.7,1016.4,1009.1,1011.6,1003.6,1003.3,1005.1,992.9,994.1,1008.9,1014.0,1017.4
23,1014.1,1017.0,1007.5,1009.8,1005.7,1004.2,1006.2,1000.9,1001.9,1007.1,1012.7,1015.7
24,1012.9,1016.4,1006.4,1008.5,1006.0,1005.8,1005.7,1003.8,1003.2,1005.9,1009.5,1015.6
25,1013.3,1015.3,1008.6,1007.7,1006.0,1005.6,1004.5,1004.5,1004.9,1008.1,1009.1,1014.0
26,1014.1,1012.4,1008.8,1008.2,1005.5,1004.6,1005.1,1002.9,1006.8,1012.0,1011.5,1012.8
27,1015.6,1010.0,1008.4,1009.4,1004.7,1003.8,1005.6,1001.8,1006.3,1013.3,1013.1,1016.1
28,1016.8,1010.0,1009.0,1009.5,1006.5,1003.5,1006.2,998.6,1004.2,1013.9,1016.9,1015.8
29,1017.6,,1009.1,1008.7,1007.6,1005.1,1004.9,999.9,1004.0,1013.4,1018.0,1016.3
30,1018.2,,1009.3,1005.5,1007.1,1005.5,1003.5,1001.9,1005.2,1011.7,1016.2,1016.0
31,1017.5,,1010.4,,1005.7,,1002.5,1002.7,,1010.2,,1014.7
平均,1015,1013.8,1011.4,1008.2,1005.5,1002.9,1004.5,1002.1,1003.9,1007.9,1012.4,1013.4
